"","HOUR_IN_YEAR","MONTH","HOUR_IN_DAY","DIFFUSED","DIRECT","GLOBAL"
"5380",3063,5,14,89.6811594202899,80.4057971014493,170.086956521739
"5755",3064,5,15,77.4782608695652,74.5942028985507,152.072463768116
"6130",3065,5,16,64.231884057971,53.4347826086956,117.666666666667
"6505",3066,5,17,50.5942028985507,37.6231884057971,88.2173913043478
"6880",3067,5,18,33.5652173913044,21.5652173913043,55.1304347826087
"7255",3068,5,19,15.0434782608696,5.91304347826087,20.9565217391304
"7630",3069,5,20,2.43478260869565,0.260869565217391,2.69565217391304
"8005",3070,5,21,0,0,0
"8380",3071,5,22,0,0,0
"8755",3072,5,23,0,0,0
"131",3073,5,0,0,0,0
"506",3074,5,1,0,0,0
"881",3075,5,2,0,0,0
"1256",3076,5,3,0,0,0
"1631",3077,5,4,0,0,0
"2006",3078,5,5,3.20289855072464,0.333333333333333,3.53623188405797
"2381",3079,5,6,17.6811594202899,8.26086956521739,25.9420289855072
"2756",3080,5,7,35.7101449275362,27.304347826087,63.0144927536232
"3131",3081,5,8,50.9565217391304,55.536231884058,106.492753623188
"3506",3082,5,9,64.9565217391304,81.6666666666667,146.623188405797
"3881",3083,5,10,76.6764705882353,111.632352941176,188.308823529412
"4256",3084,5,11,87.9705882352941,124.764705882353,212.735294117647
"4631",3085,5,12,92.5970149253731,124.014925373134,216.611940298507
"5006",3086,5,13,87.1194029850746,124.776119402985,211.89552238806
"5381",3087,5,14,82.0579710144928,106.753623188406,188.811594202899
"5756",3088,5,15,78.536231884058,93.2173913043478,171.753623188406
"6131",3089,5,16,67.231884057971,73.8405797101449,141.072463768116
"6506",3090,5,17,52.1159420289855,46.9710144927536,99.0869565217391
"6881",3091,5,18,34.1449275362319,24.463768115942,58.6086956521739
"7256",3092,5,19,18.463768115942,7.65217391304348,26.1159420289855
"7631",3093,5,20,2.92753623188406,0.405797101449275,3.33333333333333
"8006",3094,5,21,0,0,0
"8381",3095,5,22,0,0,0
"8756",3096,5,23,0,0,0
"132",3097,5,0,0,0,0
"507",3098,5,1,0,0,0
"882",3099,5,2,0,0,0
"1257",3100,5,3,0,0,0
"1632",3101,5,4,0,0,0
"2007",3102,5,5,2.68115942028985,0.405797101449275,3.08695652173913
"2382",3103,5,6,16.8695652173913,8.1304347826087,25
"2757",3104,5,7,32.3913043478261,26.5942028985507,58.9855072463768
"3132",3105,5,8,47.6231884057971,50.7826086956522,98.4057971014493
"3507",3106,5,9,61.9130434782609,78.3478260869565,140.260869565217
"3882",3107,5,10,71.6521739130435,101,172.652173913043
"4257",3108,5,11,89.2173913043478,107.768115942029,196.985507246377
"4632",3109,5,12,93.0579710144928,112.521739130435,205.579710144928
"5007",3110,5,13,91.5942028985507,103.811594202899,195.405797101449
