"","HOUR_IN_YEAR","MONTH","HOUR_IN_DAY","DIFFUSED","DIRECT","GLOBAL"
"3201",4689,7,8,55.9565217391304,54.6231884057971,110.579710144928
"3576",4690,7,9,76.768115942029,74.6086956521739,151.376811594203
"3951",4691,7,10,87.4782608695652,87.3478260869565,174.826086956522
"4326",4692,7,11,99.4117647058823,100.911764705882,200.323529411765
"4701",4693,7,12,103.391304347826,110.478260869565,213.869565217391
"5076",4694,7,13,107.666666666667,94.6376811594203,202.304347826087
"5451",4695,7,14,97.0579710144928,84.9855072463768,182.04347826087
"5826",4696,7,15,87.2608695652174,80.8405797101449,168.101449275362
"6201",4697,7,16,73.9275362318841,60.8840579710145,134.811594202899
"6576",4698,7,17,56.1304347826087,39.695652173913,95.8260869565217
"6951",4699,7,18,40.8260869565217,30.4347826086957,71.2608695652174
"7326",4700,7,19,23.8550724637681,12.8985507246377,36.7536231884058
"7701",4701,7,20,7.97101449275362,1.82608695652174,9.79710144927536
"8076",4702,7,21,0,0.0142857142857143,0.0142857142857143
"8451",4703,7,22,0,0,0
"8826",4704,7,23,0,0,0
"202",4705,7,0,0,0,0
"577",4706,7,1,0,0,0
"952",4707,7,2,0,0,0
"1327",4708,7,3,0,0,0
"1702",4709,7,4,0.0428571428571429,0,0.0428571428571429
"2077",4710,7,5,6.02898550724638,1.34782608695652,7.3768115942029
"2452",4711,7,6,22.768115942029,11.2753623188406,34.0434782608696
"2827",4712,7,7,41.6811594202899,29.3913043478261,71.0724637681159
"3202",4713,7,8,60.4927536231884,51.1304347826087,111.623188405797
"3577",4714,7,9,78.0147058823529,70.5882352941177,148.602941176471
"3952",4715,7,10,90.1176470588235,93.4411764705882,183.558823529412
"4327",4716,7,11,96.0746268656716,96.5522388059701,192.626865671642
"4702",4717,7,12,104.880597014925,86.2537313432836,191.134328358209
"5077",4718,7,13,100.794117647059,90.0735294117647,190.867647058824
"5452",4719,7,14,99.7971014492754,86.3478260869565,186.144927536232
"5827",4720,7,15,88.9710144927536,74.1159420289855,163.086956521739
"6202",4721,7,16,69.9275362318841,58.768115942029,128.695652173913
"6577",4722,7,17,57.304347826087,43.231884057971,100.536231884058
"6952",4723,7,18,41.1594202898551,25.5507246376812,66.7101449275362
"7327",4724,7,19,24.3768115942029,10.9855072463768,35.3623188405797
"7702",4725,7,20,7.88405797101449,1.8695652173913,9.7536231884058
"8077",4726,7,21,0,0,0
"8452",4727,7,22,0,0,0
"8827",4728,7,23,0,0,0
"203",4729,7,0,0,0,0
